      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.043000         704.410253        -714.218263        3018.501528           0.041366          -0.041514          -1.899646           0.196332          -0.198360           7.818871         704.172555        -713.978389        3012.582303
      12.044000         724.741561        -734.583693        3044.407955           0.041257          -0.041405          -1.902077           0.182920          -0.184962           7.831958         724.517384        -734.357326        3038.478074
      12.045000         744.864101        -754.737725        3070.613830           0.041148          -0.041296          -1.904558           0.169631          -0.171688           7.844967         744.653322        -754.524741        3064.673421
      12.046000         764.772938        -774.675412        3097.123851           0.041040          -0.041188          -1.907086           0.156474          -0.158543           7.857880         764.575425        -774.475681        3091.173057
      12.047000         784.463188        -794.391860        3123.941141           0.040931          -0.041079          -1.909659           0.143452          -0.145534           7.870684         784.278805        -794.205247        3117.980115
      12.048000         803.966468        -813.918678        3151.034376           0.040822          -0.040970          -1.912273           0.130562          -0.132657           7.883362         803.795085        -813.745052        3145.063287
      12.049000         823.338914        -833.311990        3178.347774           0.040710          -0.040858          -1.914925           0.117798          -0.119904           7.895891         823.180407        -833.151228        3172.366809
      12.050000         842.576661        -852.567869        3205.760801           0.040595          -0.040743          -1.917607           0.105149          -0.107267           7.908245         842.430917        -852.419859        3199.770163
      12.051000         861.674964        -871.681520        3233.173713           0.040476          -0.040623          -1.920310           0.092608          -0.094737           7.920405         861.541880        -871.546159        3227.173617
      12.052000         880.628487        -890.647596        3260.588893           0.040352          -0.040500          -1.923031           0.080174          -0.082313           7.932370         880.507961        -890.524784        3254.579555
      12.053000         899.431519        -909.460380        3288.008517           0.040224          -0.040372          -1.925769           0.067846          -0.069995           7.944136         899.323449        -909.350014        3281.990149
      12.054000         918.078326        -928.114127        3315.434205           0.040092          -0.040239          -1.928520           0.055623          -0.057781           7.955706         917.982611        -928.016107        3309.407019
      12.055000         936.562834        -946.602754        3342.867323           0.039955          -0.040102          -1.931280           0.043504          -0.045671           7.967077         936.479375        -946.516981        3336.831525
      12.056000         954.878395        -964.919605        3370.308925           0.039814          -0.039961          -1.934047           0.031487          -0.033662           7.978252         954.807094        -964.845982        3364.264720
      12.057000         973.027066        -983.066670        3397.786662           0.039669          -0.039816          -1.936820           0.019553          -0.021736           7.989227         972.967844        -983.005118        3391.734255
      12.058000         991.033788       -1001.068884        3425.409667           0.039522          -0.039669          -1.939603           0.007634          -0.009824           7.999973         990.986632       -1001.019391        3419.349297
      12.059000        1008.889966       -1018.917685        3453.184729           0.039373          -0.039520          -1.942395          -0.004279           0.002082           8.010488        1008.854871       -1018.880247        3447.116636
      12.060000        1026.591428       -1036.608899        3481.110106           0.039223          -0.039369          -1.945194          -0.016190           0.013987           8.020785        1026.568396       -1036.583517        3475.034515
      12.061000        1044.136938       -1054.141274        3509.183615           0.039070          -0.039216          -1.947996          -0.028106           0.025897           8.030896        1044.125974       -1054.127955        3503.100715
      12.062000        1061.519629       -1071.507941        3537.402450           0.038914          -0.039059          -1.950802          -0.040019           0.037805           8.040820        1061.520735       -1071.506687        3531.312432
      12.063000        1078.731708       -1088.701099        3565.764161           0.038754          -0.038899          -1.953611          -0.051927           0.049708           8.050554        1078.744881       -1088.711908        3559.667218
      12.064000        1095.765038       -1105.712692        3594.296161           0.038590          -0.038735          -1.956426          -0.063827           0.061604           8.060102        1095.790275       -1105.735561        3588.192484
      12.065000        1112.590053       -1122.513081        3623.059544           0.038423          -0.038568          -1.959246          -0.075711           0.073484           8.069469        1112.627342       -1122.547998        3616.949321
      12.066000        1129.183689       -1139.079188        3652.065474           0.038251          -0.038396          -1.962073          -0.087578           0.085348           8.078661        1129.233015       -1139.126139        3645.948885
      12.067000        1145.536729       -1155.401792        3681.310123           0.038076          -0.038221          -1.964906          -0.099424           0.097191           8.087681        1145.598076       -1155.460762        3675.187348
      12.068000        1161.639676       -1171.471392        3710.789106           0.037898          -0.038042          -1.967745          -0.111246           0.109011           8.096532        1161.713025       -1171.542362        3704.660319
      12.069000        1177.489151       -1187.284607        3740.476790           0.037715          -0.037859          -1.970586          -0.123028           0.120791           8.105251        1177.574463       -1187.367539        3734.342124
      12.070000        1193.078904       -1202.835184        3770.354994           0.037529          -0.037673          -1.973425          -0.134756           0.132518           8.113864        1193.176131       -1202.930029        3764.214554
      12.071000        1208.398129       -1218.112310        3800.418446           0.037339          -0.037482          -1.976262          -0.146427           0.144189           8.122378        1208.507217       -1218.219017        3794.272330
      12.072000        1223.439957       -1233.109115        3830.660329           0.037145          -0.037288          -1.979097          -0.158046           0.155808           8.130754        1223.560859       -1233.227635        3824.508672
      12.073000        1238.198253       -1247.819455        3861.073562           0.036946          -0.037089          -1.981925          -0.169621           0.167384           8.138942        1238.330928       -1247.949750        3854.916545
      12.074000        1252.659918       -1262.230230        3891.656114           0.036743          -0.036886          -1.984748          -0.181142           0.178905           8.146936        1252.804317       -1262.372249        3885.493925
      12.075000        1266.720825       -1276.235787        3922.381892           0.036537          -0.036679          -1.987568          -0.192477           0.190241           8.154671        1266.876766       -1276.389349        3916.214789
      12.076000        1278.404414       -1287.862221        3952.022135           0.036357          -0.036499          -1.990390          -0.202993           0.200759           8.163022        1278.571050       -1288.026481        3945.849503
      12.077000        1289.055974       -1298.454168        3981.486348           0.036182          -0.036323          -1.993217          -0.213228           0.210997           8.171541        1289.233020       -1298.628842        3975.308023
      12.078000        1299.309989       -1308.645616        4011.164098           0.036001          -0.036142          -1.996043          -0.223497           0.221269           8.180038        1299.497485       -1308.830743        4004.980104
      12.079000        1309.167859       -1318.437962        4041.054305           0.035815          -0.035956          -1.998869          -0.233812           0.231588           8.188512        1309.365856       -1318.633593        4034.864662
      12.080000        1318.628897       -1327.830516        4071.159869           0.035624          -0.035765          -2.001693          -0.244170           0.241951           8.196957        1318.837443       -1328.036702        4064.964605
      12.081000        1327.693140       -1336.823309        4101.480849           0.035428          -0.035568          -2.004516          -0.254570           0.252356           8.205363        1327.912282       -1337.040096        4095.280002
      12.082000        1336.367573       -1345.423307        4131.989537           0.035227          -0.035367          -2.007335          -0.265009           0.262800           8.213709        1336.597356       -1345.650741        4125.783163
      12.083000        1344.653953       -1353.632918        4162.673886           0.035020          -0.035160          -2.010149          -0.275481           0.273278           8.221986        1344.894414       -1353.871036        4156.462049
      12.084000        1352.551058       -1361.451522        4193.531514           0.034808          -0.034948          -2.012959          -0.285972           0.283776           8.230179        1352.802221       -1361.700351        4187.314294
      12.085000        1360.022290       -1368.842643        4224.612696           0.034597          -0.034736          -2.015756          -0.296204           0.294016           8.237757        1360.283897       -1369.101923        4218.390695
      12.086000        1367.049215       -1375.787805        4255.943711           0.034388          -0.034526          -2.018535          -0.306030           0.303852           8.244453        1367.320857       -1376.057131        4249.717794
      12.087000        1373.633918       -1382.289147        4287.523921           0.034182          -0.034320          -2.021299          -0.315456           0.313288           8.250288        1373.915192       -1382.568114        4281.294932
      12.088000        1379.728901       -1388.299128        4319.299468           0.033977          -0.034114          -2.024034          -0.324654           0.322497           8.255522        1380.019578       -1388.587511        4313.067980
      12.089000        1385.402450       -1393.884664        4351.254642           0.033770          -0.033908          -2.026754          -0.333723           0.331577           8.260402        1385.702402       -1394.182334        4345.020994
      12.090000        1390.684433       -1399.075657        4383.394196           0.033563          -0.033699          -2.029467          -0.342663           0.340530           8.264975        1390.993533       -1399.382487        4377.158689
      12.091000        1395.575185       -1403.872496        4415.718193           0.033354          -0.033490          -2.032173          -0.351472           0.349352           8.269248        1395.893303       -1404.188358        4409.481118
      12.092000        1400.074529       -1408.275047        4448.227650           0.033143          -0.033279          -2.034871          -0.360149           0.358042           8.273228        1400.401535       -1408.599810        4441.989293
      12.093000        1404.183163       -1412.284024        4480.924170           0.032931          -0.033067          -2.037561          -0.368693           0.366600           8.276917        1404.518925       -1412.617557        4474.684814
      12.094000        1407.901065       -1415.899360        4513.809006           0.032718          -0.032853          -2.040242          -0.377109           0.375030           8.280311        1408.245455       -1416.241537        4507.568938
      12.095000        1411.228410       -1419.121212        4546.884370           0.032504          -0.032638          -2.042914          -0.385401           0.383337           8.283411        1411.581307       -1419.471911        4540.643873
      12.096000        1414.166103       -1421.950453        4580.151824           0.032288          -0.032422          -2.045576          -0.393568           0.391520           8.286216        1414.527384       -1422.309551        4573.911184
      12.097000        1416.715159       -1424.388053        4613.613038           0.032070          -0.032204          -2.048227          -0.401610           0.399579           8.288726        1417.084699       -1424.755427        4607.372540
      12.098000        1418.876414       -1426.434796        4647.270373           0.031852          -0.031985          -2.050868          -0.409527           0.407512           8.290937        1419.254089       -1426.810323        4641.030304
      12.099000        1420.633642       -1428.074429        4681.158133           0.031631          -0.031764          -2.053498          -0.417317           0.415319           8.292848        1421.019328       -1428.457984        4674.918783
      12.100000        1421.978047       -1429.298197        4715.293428           0.031410          -0.031542          -2.056117          -0.424985           0.423006           8.294458        1422.371622       -1429.689661        4709.055087
      12.101000        1422.904671       -1430.101340        4749.673880           0.031187          -0.031319          -2.058724          -0.432537           0.430576           8.295771        1423.306021       -1430.500597        4743.436833
